Dataset,Classificador,Acurácia,F1-Score
HateBR,MultinomialNB,0.8233190271816881,0.8233144166860544
HateBR,RandomForestClassifier,0.8075822603719599,0.8070756068324695
HateBR,LinearSVC,0.8190271816881259,0.8188356336970529
HateBR,LogisticRegression,0.8068669527896996,0.8066343195715752
HateBR,KNeighborsClassifier,0.6859799713876967,0.6855184430809285
HateBR,VotingClassifier,0.8183118741058655,0.8182025052234568
Offcom2,MultinomialNB,0.6987951807228916,0.673962337284796
Offcom2,RandomForestClassifier,0.6345381526104418,0.6477436949019588
Offcom2,LinearSVC,0.6827309236947792,0.674118754145905
Offcom2,LogisticRegression,0.6907630522088354,0.6577830801710645
Offcom2,KNeighborsClassifier,0.5301204819277109,0.5412570559506251
Offcom2,VotingClassifier,0.6706827309236948,0.6515420848820019
OffcomBR-3,MultinomialNB,0.8203883495145631,0.7521970878254304
OffcomBR-3,RandomForestClassifier,0.7864077669902912,0.7627831715210356
OffcomBR-3,LinearSVC,0.8009708737864077,0.7590808154474978
OffcomBR-3,LogisticRegression,0.8155339805825242,0.7326722392399149
OffcomBR-3,KNeighborsClassifier,0.7961165048543689,0.7444921583271098
OffcomBR-3,VotingClassifier,0.8058252427184466,0.7436586208219809
OLID-BR,MultinomialNB,0.7431597528684908,0.7083407351436688
OLID-BR,RandomForestClassifier,0.7475728155339806,0.7347329046358173
OLID-BR,LinearSVC,0.7449249779346867,0.7334279803770654
OLID-BR,LogisticRegression,0.7502206531332745,0.7184858800221025
OLID-BR,KNeighborsClassifier,0.7193292144748455,0.66432005668698
OLID-BR,VotingClassifier,0.7528684907325685,0.7227430931406019
BiToLD,MultinomialNB,0.71875,0.7136456835715762
BiToLD,RandomForestClassifier,0.7540553435114504,0.7547666392645438
BiToLD,LinearSVC,0.7192270992366412,0.7176666596533783
BiToLD,LogisticRegression,0.7397423664122137,0.7357639105406619
BiToLD,KNeighborsClassifier,0.6245229007633588,0.5855617648921703
BiToLD,VotingClassifier,0.737118320610687,0.7324057685648686
MultiOffcomBR-3,MultinomialNB,0.8155339805825242,0.7326722392399149
MultiOffcomBR-3,RandomForestClassifier,0.7718446601941747,0.7289548829240433
MultiOffcomBR-3,LinearSVC,0.8009708737864077,0.7415544824425931
MultiOffcomBR-3,LogisticRegression,0.8203883495145631,0.7437384497253964
MultiOffcomBR-3,KNeighborsClassifier,0.8155339805825242,0.7422910178909445
MultiOffcomBR-3,VotingClassifier,0.8203883495145631,0.7437384497253964
